Profit,Loss
100,0
80,0
110,0
120,0
90,0
100,0
90,0
120,0
110,1250
80,0
110,0
100,0
90,0
130,1500
120,0
130,0
110,0
90,0
100,0
120,0
120,1750
110,0
140,0
130,0
100,0
110,0
120,0
120,0
140,0
110,0
130,0
140,2000
120,0
110,0
130,0
150,0
110,0
150,0
120,0
140,0
140,0
150,0
130,0
120,0
140,0
160,2250
120,0
160,0
130,0
150,0
150,0
160,0
140,0
130,0
150,0
170,0
130,0
170,2500
140,0
160,0
